onset	event
0	begain
12000	start
21993	task
24000	city
29993	task
36000	fact
47994	noise
53993	task
60000	fact_n
65993	task
72000	city_n
83994	noise
88994	task
95993	ISI
99994	task
108000	border
112993	task
119994	ISI
127994	task
132000	city
141993	task
144000	fact
155994	noise
161995	task
168000	fact_n
175994	task
180000	city_n
192027	noise
196027	task
204027	ISI
208028	task
216000	tar_1
220027	task
228028	ISI
240027	noise
248028	task
252000	fact_n
258028	task
264000	fact_occ
274027	task
276000	city_n
